Bootstrap,Weekday_Cost,Saturday_Cost,Weekly_Cost,Total_Route_Demand,Weekday_Owned,Weekday_Leased,Saturday_Owned,Saturday_Leased,Weekday_Skipped,Saturday_Skipped
491,50265.10999999999,22822.16,274147.70999999996,664,35,0,24,0,11,0
492,48453.649999999994,23159.19,265427.43999999994,647,35,0,23,0,11,0
493,49323.02,23748.079999999998,270363.18,669,37,0,26,0,11,0
494,49918.229999999996,22117.639999999996,271708.79,650,36,0,22,0,11,0
495,49783.23999999999,22788.56,271704.75999999995,650,37,0,24,0,11,0
496,49684.009999999995,23102.880000000005,271522.93,669,37,0,25,0,11,0
497,49810.909999999996,23608.54,272663.08999999997,669,35,0,24,0,11,0
498,48664.42999999999,23461.96,266784.11,656,37,0,23,0,11,0
499,50198.31,23238.239999999998,274229.79,658,34,0,24,0,11,0
500,48975.45999999999,23734.22,268611.51999999996,657,34,0,26,0,11,0
501,50384.689999999995,22917.219999999994,274840.67,652,37,0,23,0,11,0
502,49688.67999999999,23471.300000000003,271914.69999999995,667,38,0,24,0,11,0
503,50265.509999999995,23643.25,274970.8,674,36,0,25,0,11,0
504,50245.01999999999,23225.45,274450.54999999993,667,36,0,25,0,11,0
505,47956.0,22952.370000000003,262732.37,646,35,0,24,0,11,0
506,50761.45,23343.960000000006,277151.21,667,35,0,25,0,11,0
507,50827.869999999995,22831.97,276971.31999999995,653,37,0,24,0,11,0
508,50438.76999999999,23512.28,275706.12999999995,666,37,0,26,0,11,0
509,49467.49999999999,22830.99,270168.49,664,36,0,25,0,11,0
510,50011.1,23675.04,273730.54,672,37,0,26,0,11,0
511,49631.64,23068.440000000006,271226.64,662,35,0,25,0,11,0
512,50485.02999999999,22551.29,274976.43999999994,664,37,0,23,0,11,0
513,50446.159999999996,23431.09,275661.89,674,35,0,25,0,11,0
514,50939.329999999994,23761.2,278457.85,677,34,0,24,0,11,0
515,49865.31,23891.609999999997,273218.16,673,36,0,23,0,11,0
516,49580.649999999994,23761.830000000005,271665.07999999996,672,36,0,26,0,11,0
517,49682.659999999996,23532.059999999998,271945.36,672,35,0,25,0,11,0
518,48573.17999999999,22990.72,265856.62,649,35,0,25,0,11,0
519,50517.34999999999,23735.640000000003,276322.38999999996,669,34,0,25,0,11,0
520,49611.659999999996,23424.45,271482.75,671,37,0,24,0,11,0
521,49936.009999999995,23626.050000000003,273306.1,662,36,0,25,0,11,0
522,49943.98999999999,23413.700000000004,273133.64999999997,668,36,0,26,0,11,0
523,50305.82,23111.559999999994,274640.66,669,35,0,25,0,11,0
524,50449.420000000006,23549.410000000003,275796.51,670,36,0,25,0,11,0
525,50067.689999999995,23059.21,273397.66,658,35,0,25,0,11,0
526,50150.59,22639.770000000004,273392.72,657,35,0,24,0,11,0
527,49993.78,23702.19,273671.08999999997,670,35,0,24,0,11,0
528,49503.159999999996,23040.060000000005,270555.86,664,36,0,26,0,11,0
529,49786.32,23474.41,272406.01,663,36,0,24,0,11,0
530,50745.52999999999,23219.28,276946.92999999993,665,35,0,26,0,11,0
531,49866.25999999999,22875.78,272207.07999999996,670,36,0,24,0,11,0
532,49401.78999999999,23233.2,270242.14999999997,664,35,0,24,0,11,0
533,50739.869999999995,22643.79,276343.13999999996,661,35,0,24,0,11,0
534,49709.689999999995,23771.25,272319.69999999995,673,37,0,24,0,11,0
535,49532.979999999996,23539.290000000005,271204.18999999994,671,37,0,24,0,11,0
536,50007.59,23814.070000000003,273852.01999999996,672,37,0,25,0,11,0
537,49639.09999999999,23970.929999999997,272166.42999999993,674,35,0,25,0,11,0
538,49028.34,23675.920000000002,268817.62,663,34,0,25,0,11,0
539,50121.40999999999,23297.950000000004,273904.99999999994,660,37,0,26,0,11,0
540,50239.659999999996,22995.350000000002,274193.64999999997,659,35,0,24,0,11,0
541,49008.31,23628.43,268669.98,655,33,0,26,0,11,0
542,49858.98999999999,23332.52,272627.47,667,35,0,24,0,11,0
543,50118.759999999995,22448.309999999994,273042.11,659,36,0,23,0,11,0
544,50385.31999999999,23652.87,275579.47,670,37,0,23,0,11,0
545,49587.87999999999,23037.86,270977.25999999995,661,36,0,25,0,11,0
546,49818.17,23319.179999999997,272410.02999999997,658,36,0,23,0,11,0
547,47841.299999999996,23195.059999999998,262401.55999999994,649,35,0,23,0,11,0
548,50139.829999999994,23101.250000000004,273800.39999999997,666,36,0,25,0,11,0
549,49810.49999999999,23776.809999999998,272829.30999999994,669,35,0,25,0,11,0
550,48286.10999999999,24174.84,265605.38999999996,658,35,0,23,0,11,0
551,49368.549999999996,23348.7,270191.44999999995,660,36,0,25,0,11,0
552,49262.83999999999,22886.409999999996,269200.6099999999,654,36,0,22,0,11,0
553,50331.630000000005,23280.9,274939.05000000005,667,36,0,24,0,11,0
554,50322.78999999999,23407.760000000006,275021.70999999996,663,35,0,25,0,11,0
555,49590.229999999996,23633.31,271584.45999999996,664,37,0,25,0,11,0
556,50175.53999999999,23657.59,274535.29,671,36,0,26,0,11,0
557,49009.06999999999,23177.060000000005,268222.41,647,35,0,24,0,11,0
558,50788.229999999996,23507.539999999997,277448.68999999994,680,35,0,25,0,11,0
559,50348.09999999999,23788.15,275528.64999999997,668,36,0,26,0,11,0
560,50257.14,22790.139999999996,274075.84,659,37,0,24,0,11,0
561,50013.729999999996,23027.539999999997,273096.18999999994,658,36,0,25,0,11,0
562,50149.84,22679.02,273428.22,661,35,0,24,0,11,0
563,49876.25999999999,22501.690000000002,271882.98999999993,655,35,0,23,0,11,0
564,50480.38,23551.63,275953.52999999997,667,35,0,24,0,11,0
565,49878.479999999996,23552.59,272944.99,671,35,0,27,0,11,0
566,50641.47999999999,22920.690000000002,276128.08999999997,669,35,0,23,0,11,0
567,48378.369999999995,23274.260000000002,265166.11,646,35,0,26,0,11,0
568,48428.68,23673.41,265816.81,646,36,0,23,0,11,0
569,49918.12999999999,23126.74,272717.38999999996,664,35,0,25,0,11,0
570,50414.40999999999,22849.39,274921.43999999994,657,35,0,25,0,11,0
571,50054.35999999999,22504.500000000004,272776.3,659,36,0,24,0,11,0
572,49986.52,22762.33,272694.93,661,37,0,24,0,11,0
573,48681.08,23271.519999999997,266676.92000000004,646,35,0,26,0,11,0
574,49183.60999999999,22902.18,268820.23,652,35,0,25,0,11,0
575,50104.21,23087.94,273608.99,659,35,0,24,0,11,0
576,50796.11,23490.26,277470.81,671,36,0,26,0,11,0
577,49749.85999999999,22874.690000000006,271623.99,661,36,0,25,0,11,0
578,50336.659999999996,23725.620000000006,275408.92,675,35,0,26,0,11,0
579,49494.259999999995,23115.529999999995,270586.82999999996,661,35,0,25,0,11,0
580,50462.59,23163.13000000001,275476.08,669,34,0,25,0,11,0
581,49743.02,23960.050000000003,272675.14999999997,677,36,0,26,0,11,0
582,49605.34999999999,23297.060000000005,271323.80999999994,656,36,0,27,0,11,0
583,49772.1,23828.920000000002,272689.42,672,37,0,25,0,11,0
584,49546.869999999995,22979.25,270713.6,651,34,0,24,0,11,0
585,49829.74,23167.960000000003,272316.66,668,36,0,26,0,11,0
586,49940.59,23193.57,272896.51999999996,668,36,0,24,0,11,0
587,50183.829999999994,23439.920000000002,274359.06999999995,673,36,0,24,0,11,0
588,49701.7,23045.33,271553.83,661,34,0,25,0,11,0
589,50719.71,23676.000000000004,277274.55,663,34,0,25,0,11,0
590,49622.17,23106.38,271217.23,668,38,0,22,0,11,0
591,50342.36,23517.030000000002,275228.83,670,36,0,26,0,11,0
592,49892.17999999999,22917.410000000003,272378.30999999994,661,36,0,23,0,11,0
593,49875.469999999994,23098.93,272476.27999999997,670,36,0,24,0,11,0
594,49806.53,22865.760000000002,271898.41,654,35,0,24,0,11,0
595,50063.49999999999,22790.46,273107.95999999996,665,35,0,23,0,11,0
596,51098.38999999999,23424.54,278916.48999999993,671,35,0,24,0,11,0
597,49886.28,22856.559999999998,272287.95999999996,659,35,0,23,0,11,0
598,50257.74999999999,22945.64,274234.38999999996,658,34,0,25,0,11,0
599,48234.25999999999,23258.86,264430.1599999999,652,35,0,25,0,11,0
600,50107.05999999999,23120.629999999997,273655.92999999993,662,37,0,23,0,11,0
601,50532.7,23617.94,276281.44,665,34,0,24,0,11,0
602,51058.13999999999,23034.67,278325.36999999994,665,35,0,24,0,11,0
