Global_Route_ID,Day,Route_ID,Route,Demand,Duration_seconds,Duration_hours,Overtime,Owned_Cost_NZD,Leased_Cost_NZD
1307,Saturday,1176,Warehouse -> Pak 'n Save Royal Oak -> New World Remuera -> Four Square Onehunga -> Warehouse,14.0,18092.65,5.025736111111112,True,1500.0,4200.0
1308,Saturday,1177,Warehouse -> Pak 'n Save Royal Oak -> New World Remuera -> Four Square Remuera -> Four Square Onehunga -> Warehouse,16.0,20540.18,5.705605555555556,True,1500.0,4200.0
1309,Saturday,1178,Warehouse -> Pak 'n Save Royal Oak -> New World Remuera -> Four Square Remuera -> Warehouse,14.0,18506.9,5.140805555555556,True,1500.0,4200.0
1310,Saturday,1179,Warehouse -> Pak 'n Save Royal Oak -> New World Remuera -> Four Square Remuera -> Four Square St Heliers -> Warehouse,16.0,22091.14,6.136427777777778,True,1810.0,5600.0
1311,Saturday,1180,Warehouse -> New World Remuera -> Four Square Eden Terrace -> Warehouse,6.0,9927.61,2.7576694444444447,False,606.69,2800.0
1312,Saturday,1181,Warehouse -> New World Remuera -> Four Square Remuera -> Four Square Eden Terrace -> Warehouse,8.0,12367.1,3.435305555555556,False,755.77,2800.0
1313,Saturday,1182,Warehouse -> Four Square Eden Terrace -> New World Remuera -> Four Square Remuera -> Four Square St Heliers -> Warehouse,10.0,16006.130000000001,4.446147222222223,True,1190.0,4200.0
1314,Saturday,1183,Warehouse -> Four Square Ellerslie -> New World Remuera -> Warehouse,6.0,10198.66,2.832961111111111,False,623.25,2800.0
1315,Saturday,1184,Warehouse -> Four Square Onehunga -> Four Square Ellerslie -> New World Remuera -> Warehouse,8.0,12042.57,3.3451583333333335,False,735.93,2800.0
1316,Saturday,1185,Warehouse -> Four Square Onehunga -> Four Square Ellerslie -> Four Square Remuera -> New World Remuera -> Warehouse,10.0,14310.43,3.9751194444444446,False,874.53,2800.0
1317,Saturday,1186,Warehouse -> Four Square Onehunga -> Four Square Ellerslie -> Four Square St Heliers -> Four Square Remuera -> New World Remuera -> Warehouse,12.0,17977.15,4.993652777777778,True,1190.0,4200.0
1318,Saturday,1187,Warehouse -> Four Square Ellerslie -> Four Square Remuera -> New World Remuera -> Warehouse,8.0,12466.52,3.4629222222222222,False,761.84,2800.0
1319,Saturday,1188,Warehouse -> Four Square Ellerslie -> Four Square St Heliers -> Four Square Remuera -> New World Remuera -> Warehouse,10.0,16133.24,4.481455555555556,True,1190.0,4200.0
1320,Saturday,1189,Warehouse -> New World Remuera -> Four Square Ellerslie -> Four Square St Heliers -> Warehouse,8.0,13886.58,3.8573833333333334,False,848.62,2800.0
1321,Saturday,1190,Warehouse -> Four Square Onehunga -> New World Remuera -> Warehouse,6.0,9560.52,2.6557,False,584.25,2800.0
1322,Saturday,1191,Warehouse -> Four Square Onehunga -> New World Remuera -> Four Square Remuera -> Warehouse,8.0,12000.02,3.333338888888889,False,733.33,2800.0
1323,Saturday,1192,Warehouse -> Four Square Onehunga -> New World Remuera -> Four Square Remuera -> Four Square St Heliers -> Warehouse,10.0,15584.26,4.328961111111111,True,1190.0,4200.0
1324,Saturday,1193,Warehouse -> New World Remuera -> Four Square Remuera -> Warehouse,6.0,9989.85,2.7749583333333336,False,610.49,2800.0
1325,Saturday,1194,Warehouse -> New World Remuera -> Four Square Remuera -> Four Square St Heliers -> Warehouse,8.0,13574.09,3.7705805555555556,False,829.53,2800.0
1326,Saturday,1195,Warehouse -> New World Remuera -> Four Square St Heliers -> Warehouse,6.0,11372.59,3.1590527777777777,False,694.99,2800.0
