Bootstrap,Weekday_Cost,Saturday_Cost,Weekly_Cost,Total_Route_Demand,Weekday_Owned,Weekday_Leased,Saturday_Owned,Saturday_Leased,Weekday_Skipped,Saturday_Skipped
466,50214.59999999999,23154.98,274227.9799999999,667.0,36,0,24,0,11,0
467,50472.39999999999,22798.370000000003,275160.36999999994,663.0,36,0,24,0,11,0
468,51474.88999999999,23466.989999999998,280841.43999999994,676.0,35,0,25,0,11,0
469,50144.31999999999,23446.300000000003,274167.89999999997,672.0,35,0,24,0,11,0
470,49719.35999999999,22886.850000000002,271483.64999999997,660.0,37,0,25,0,11,0
471,50074.939999999995,23596.030000000002,273970.73,675.0,37,0,26,0,11,0
472,49947.66999999999,23597.21,273335.55999999994,674.0,37,0,23,0,11,0
473,49736.26,23175.449999999997,271856.75,659.0,34,0,23,0,11,0
474,50272.049999999996,23513.31,274873.56,668.0,36,0,26,0,11,0
475,50387.59,23376.06,275314.01,664.0,36,0,24,0,11,0
476,50083.63,23609.830000000005,274027.98,670.0,35,0,26,0,11,0
477,49829.899999999994,22753.520000000004,271903.01999999996,662.0,35,0,24,0,11,0
478,50376.27,23438.180000000004,275319.52999999997,666.0,37,0,25,0,11,0
479,49770.729999999996,23289.68,272143.32999999996,660.0,37,0,26,0,11,0
480,47456.10999999999,23542.45,260822.99999999997,644.0,33,0,24,0,11,0
481,50306.81999999999,22775.990000000005,274310.08999999997,654.0,36,0,24,0,11,0
482,51049.4,23205.85,278452.85,676.0,36,0,25,0,11,0
483,50420.369999999995,23368.97,275470.81999999995,673.0,37,0,25,0,11,0
484,50296.259999999995,22748.760000000002,274230.06,663.0,35,0,23,0,11,0
485,50788.18,23079.96,277020.86,675.0,35,0,25,0,11,0
486,49713.52,23475.659999999993,272043.25999999995,661.0,36,0,25,0,11,0
487,50052.729999999996,23159.629999999997,273423.27999999997,668.0,34,0,24,0,11,0
488,49909.759999999995,22753.660000000007,272302.46,658.0,36,0,24,0,11,0
489,48858.909999999996,23091.449999999997,267386.0,656.0,35,0,25,0,11,0
490,50463.44999999999,22510.77,274828.01999999996,664.0,35,0,25,0,11,0
491,50106.84,23091.020000000004,273625.22,666.0,34,0,25,0,11,0
492,50268.17999999999,23390.450000000004,274731.35,671.0,36,0,25,0,11,0
493,50381.80999999999,23082.440000000006,274991.49,669.0,35,0,24,0,11,0
494,48240.469999999994,23575.77,264778.12,646.0,35,0,24,0,11,0
495,50250.56,22336.780000000006,273589.58,649.0,34,0,24,0,11,0
496,49263.219999999994,22909.71,269225.81,649.0,34,0,25,0,11,0
497,47614.24,23121.130000000005,261192.33,643.0,35,0,25,0,11,0
498,49970.92999999999,22690.54,272545.18999999994,667.0,36,0,23,0,11,0
